step	x
1	0.390334
2	0.390334
3	1.68681
4	1.65277
5	0.567213
6	0.567213
7	0.567213
8	0.567213
9	0.567213
10	1.25396
11	-0.808024
12	-0.808024
13	0.834133
14	-0.906624
15	0.613647
16	0.829932
17	0.829932
18	-0.738965
19	-0.738965
20	-0.738965
21	-0.738965
22	-0.591741
23	-0.634042
24	-0.634042
25	-1.58392
26	-1.58392
27	-1.58392
28	-0.32342
29	-0.32342
30	-0.32342
31	-1.90923
32	-1.4693
33	-0.649082
34	-0.649082
35	-0.649082
36	0.0202106
37	1.17855
38	1.21499
39	0.851524
40	0.851524
41	0.851524
42	0.851524
43	0.603848
44	0.603848
45	1.26298
46	1.60949
47	1.60949
48	-0.304219
49	-0.304219
50	-0.304219
51	0.751057
52	0.751057
53	-1.41429
54	-1.41429
55	1.02546
56	1.02546
57	0.639198
58	0.639198
59	-1.25033
60	-1.25033
61	-1.25033
62	1.27018
63	0.272469
64	1.12135
65	1.12135
66	1.12135
67	-0.690773
68	-1.24448
69	-0.219408
70	-0.469299
71	0.512704
72	0.512704
73	-1.20765
74	0.071449
75	-1.34568
76	-1.34568
77	-1.34568
78	-0.208591
79	-0.208591
80	-0.208591
81	-0.98588
82	-0.98588
83	-0.990907
84	-0.990907
85	0.0336804
86	0.0336804
87	0.0336804
88	-0.698059
89	-0.191955
90	-1.89861
91	-1.89861
92	-1.23254
93	-0.663805
94	-0.663805
95	0.150632
96	0.150632
97	0.150632
98	0.150632
99	0.150632
100	0.814921
101	0.586068
102	0.586068
103	0.586068
104	-0.710384
105	-0.710384
106	-0.710384
107	-1.35261
108	-1.35261
109	-1.35261
110	1.14898
111	1.14898
112	-0.723297
113	-0.723297
114	-0.723297
115	-0.723297
116	-0.723297
117	-0.723297
118	-0.723297
119	1.15423
120	1.15423
121	0.751952
122	0.751952
123	0.751952
124	-1.90594
125	0.552716
126	-0.317569
127	0.542224
128	-0.639075
129	-0.639075
130	-0.639075
131	-0.406992
132	0.176731
133	0.176731
134	0.176731
135	0.176731
136	0.176731
137	0.612016
138	0.612016
139	0.612016
140	0.612016
141	1.22408
142	-0.587605
143	-0.250895
144	1.44486
145	1.44486
146	1.1884
147	-0.0508009
148	-0.0508009
149	-0.0508009
150	-0.0508009
151	-1.15787
152	-1.15787
153	-0.633142
154	-0.633142
155	-0.633142
156	0.134772
157	0.507316
158	1.46564
159	-0.795193
160	0.73483
161	0.73483
162	0.73483
163	0.140745
164	0.140745
165	0.140745
166	0.140745
167	0.605885
168	0.605885
169	0.605885
170	0.605885
171	-0.0948928
172	0.933858
173	0.933858
174	0.933858
175	-1.33484
176	-1.33484
177	-1.33484
178	-1.33484
179	-1.07223
180	0.506516
181	0.506516
182	0.190682
183	0.190682
184	0.190682
185	0.190682
186	-1.3221
187	-1.3221
188	1.31746
189	-0.108395
190	-0.108395
191	-0.108395
192	-0.108395
193	-0.108395
194	-0.108395
195	-0.108395
196	-0.108395
197	-1.75905
198	-0.193398
199	-0.193398
200	-0.193398
201	-0.193398
202	-0.193398
203	0.729564
204	0.729564
205	-1.28044
206	-1.28044
207	-1.29209
208	-1.29209
209	-0.783725
210	-0.783725
211	-1.09633
212	1.08819
213	1.08819
214	1.32416
215	1.32416
216	-0.277569
217	-0.603817
218	-0.603817
219	-0.603817
220	-1.25556
221	0.408444
222	0.408444
223	0.408444
224	0.408444
225	-0.926246
226	-0.526941
227	-0.526941
228	0.442175
229	-0.448214
230	-0.448214
231	-0.448214
232	-0.100889
233	-0.100889
234	-0.100889
235	-0.100889
236	-0.100889
237	-1.2697
238	-1.2697
239	0.832722
240	0.859065
241	0.859065
242	0.859065
243	-0.706847
244	-0.706847
245	-0.824727
246	-0.935384
247	-0.158065
248	1.1902
249	0.435578
250	-0.386367
251	-0.386367
252	-0.386367
253	-0.386367
254	0.892136
255	0.892136
256	0.892136
257	0.3512
258	0.3512
259	-0.109865
260	-0.109865
261	0.45398
262	0.45398
263	0.327898
264	1.00544
265	1.43998
266	1.44789
267	1.44789
268	1.44789
269	1.44789
270	1.44789
271	-0.454335
272	1.64438
273	0.543284
274	0.543284
275	1.58477
276	1.58477
277	-0.160072
278	1.05776
279	1.39558
280	1.18146
281	0.171719
282	0.961571
283	0.961571
284	-1.22697
285	-1.22697
286	0.194606
287	1.02297
288	1.02297
289	-0.310761
290	-0.310761
291	-0.843502
292	-0.00415345
293	-1.05616
294	-1.05616
295	-0.220328
296	-0.220328
297	-0.220328
298	0.734406
299	0.734406
300	-0.301368
301	-0.301368
302	1.37865
303	1.02314
304	-0.556103
305	-0.397228
306	-0.397228
307	-1.31151
308	-1.0308
309	1.11934
310	0.439228
311	0.439228
312	0.439228
313	0.477097
314	-0.0374622
315	-0.00329311
316	-1.31302
317	-1.50452
318	-1.72312
319	0.759198
320	1.39841
321	-0.683375
322	-0.683375
323	-0.683375
324	-0.683375
325	-0.683375
326	0.525653
327	0.525653
328	0.525653
329	0.525653
330	0.80725
331	0.80725
332	0.80725
333	0.80725
334	0.568094
335	0.568094
336	0.568094
337	0.568094
338	0.568094
339	0.568094
340	0.568094
341	1.25209
342	-0.976874
343	-0.492109
344	-0.76958
345	0.92978
346	0.707968
347	-0.638077
348	-0.48529
349	-0.48529
350	-0.48529
351	1.02224
352	-0.390678
353	-0.390678
354	0.0580324
355	-1.69635
356	0.572831
357	0.572831
358	1.25056
359	1.36413
360	1.36413
361	1.36413
362	1.36413
363	-1.22241
364	-1.22241
365	-0.267257
366	-0.267257
367	-1.01845
368	-1.01845
369	0.73143
370	1.05516
371	-0.834293
372	1.45131
373	1.45131
374	1.27727
375	-1.2243
376	0.794463
377	0.794463
378	0.794463
379	0.794463
380	0.720696
381	0.720696
382	0.720696
383	0.720696
384	0.720696
